RS,all,1765981
RIS,all,4096144
RS,WNC,402791
RS-E,WNC,200778
RS-W,WNC,202013
RIS,WNC,935029
RIS-E,WNC,465119
RIS-W,WNC,469910
RS,SNC,255238
RS-E,SNC,125146
RS-W,SNC,130092
RIS,SNC,568056
RIS-E,SNC,288272
RIS-W,SNC,279784
RS,RAS,453653
RS-E,RAS,229151
RS-W,RAS,224502
RIS,RAS,1031477
RIS-E,RAS,516408
RIS-W,RAS,515069
RS,WSC,160329
RS-E,WSC,78754
RS-W,WSC,81575
RIS,WSC,360336
RIS-E,WSC,181497
RIS-W,WSC,178839
RS,WS,493970
RS-E,WS,248581
RS-W,WS,245389
RIS,WS,1201246
RIS-E,WS,587473
RIS-W,WS,613773
RS,DJF,396539
RS-E,DJF,198199
RS-W,DJF,198340
RIS,DJF,925846
RIS-E,DJF,464109
RIS-W,DJF,461737
RS,MAM,472998
RS-E,MAM,235328
RS-W,MAM,237670
RIS,MAM,1085554
RIS-E,MAM,540887
RIS-W,MAM,544667
RS,JJA,456425
RS-E,JJA,229380
RS-W,JJA,227045
RIS,JJA,1056821
RIS-E,JJA,522951
RIS-W,JJA,533870
RS,SON,440019
RS-E,SON,219503
RS-W,SON,220516
RIS,SON,1027923
RIS-E,SON,510822
RIS-W,SON,517101
